OID_,Join_Count,LILATracts,LILATrac_1,LILATrac_2,LILATrac_3,MedianFami,TractHUNV,TractSNAP,FIPS,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,OBESITY_CrudePrev,Shape_Length,Shape_Area
934,5,0,0,0,0,7.2,101,31,6037125402,0.4043,0.0078,0.3503,0.3209,0.1503,22.5,0.036522247,6.76056E-05
935,5,0,0,0,0,7.3,70,0,6037124700,0.1034,0.162,0.3056,0.569,0.235,20.5,0.075218142,0.000133484
936,7,0,0,0,0,3.6,23,0,6037141102,0.2297,0.1068,0.1502,0.4024,0.1814,20.8,0.04643741,7.63138E-05
937,6,0,0,0,0,10.9,90,4,6037143300,0.1965,0.1391,0.272,0.3876,0.204,21,0.088540204,0.000161947
938,3,0,0,0,0,44.2,204,316,6037240010,0.996,0.7812,0.9461,0.5223,0.9164,35.1,0.070350845,5.73805E-05
939,6,0,0,0,0,14.5,302,70,6037238000,0.6706,0.7179,0.7493,0.5858,0.7076,33.5,0.063911876,0.000162227
940,4,0,1,0,0,30.7,165,307,6037240020,0.9749,0.8777,0.94,0.6707,0.9465,33.8,0.041088061,7.05469E-05
941,6,0,0,0,0,42,218,406,6037240010,0.996,0.7812,0.9461,0.5223,0.9164,35.1,0.070350845,5.73805E-05
942,3,0,0,0,0,31.9,328,414,6037240200,0.9797,0.7453,0.9276,0.7707,0.946,34,0.045813318,7.25424E-05
943,6,0,0,0,0,21.2,359,353,6037238200,0.565,0.8596,0.7425,0.7383,0.7415,32.7,0.042202335,0.000101013
944,5,0,1,0,0,28,230,357,6037240020,0.9749,0.8777,0.94,0.6707,0.9465,33.8,0.041088061,7.05469E-05
945,4,0,1,0,0,33.5,164,239,6037240600,0.9875,0.7696,0.9663,0.4332,0.8884,35.1,0.03320802,6.58077E-05
946,5,0,0,0,0,2.8,7,8,6037181000,0.2133,0.4469,0.4434,0.5332,0.3691,18.4,0.122215852,0.000402053
947,4,0,0,0,0,8.2,181,10,6037183104,0.4168,0.5949,0.635,0.2264,0.4241,22,0.048410859,6.07037E-05
948,3,0,0,0,0,28.8,242,531,6037240010,0.996,0.7812,0.9461,0.5223,0.9164,35.1,0.070350845,5.73805E-05
949,2,1,1,1,0,17.1,64,92,6037204920,0.8555,0.7951,0.9626,0.5103,0.8405,30.6,0.043155106,8.77363E-05
950,4,0,0,0,0,16.4,217,134,6037123103,0.6364,0.6665,0.6842,0.5497,0.6592,26,0.055020834,8.80179E-05
951,7,1,1,1,1,25.3,120,145,6037201402,0.7185,0.9201,0.8719,0.7197,0.8529,24.8,0.065066777,0.000188952
952,3,0,0,0,0,4.7,79,59,6037293302,0.673,0.7167,0.6896,0.6836,0.7222,23.5,0.047610767,0.000107687
953,2,1,1,1,0,18.9,14,25,6037541001,0.6709,0.9824,0.7806,0.5951,0.8121,25.24,0.034623513,1.19829E-06
954,6,0,1,0,1,21.9,108,76,6037199110,0.8158,0.7519,0.8758,0.4653,0.7776,27.2,0.041809034,9.01458E-05
955,7,0,0,0,0,37.5,283,236,6037197300,0.3533,0.0756,0.5836,0.5177,0.3537,21.9,0.05246175,6.21212E-05
956,4,0,0,0,0,15.5,126,77,6037197500,0.5348,0.1567,0.6447,0.7361,0.5608,22.2,0.036118909,6.21815E-05
957,5,0,0,0,0,17.2,142,80,6037195500,0.1538,0.0406,0.4027,0.2144,0.0995,18.8,0.058418734,0.000117736
958,7,0,0,0,0,15.4,217,115,6037195720,0.5959,0.5404,0.8385,0.9704,0.8254,25.1,0.032992339,2.824E-05
959,6,0,0,0,0,37.8,287,330,6037185202,0.5339,0.3462,0.636,0.2771,0.4554,24.7,0.0570843,0.000117559
960,5,0,1,0,1,47,211,368,6037199120,0.9684,0.8812,0.9307,0.946,0.9882,26.9,0.095247444,9.38225E-05
961,6,0,1,0,0,27.8,98,144,6037199110,0.8158,0.7519,0.8758,0.4653,0.7776,27.2,0.041809034,9.01458E-05
962,4,0,0,0,0,10.8,39,253,6037292000,0.7977,0.6552,0.825,0.817,0.8473,27.5,0.156504388,0.000364089
963,6,0,1,0,1,26.3,176,283,6037291300,0.2151,0.6264,0.6094,0.4425,0.4155,16.8,0.097580917,0.000233855
964,4,0,1,0,1,37.3,173,402,6037293202,0.907,0.6007,0.9112,0.6947,0.8661,29,0.042609622,0.000102459
965,6,0,1,0,0,19.4,42,130,6037294110,0.8269,0.7955,0.7627,0.4038,0.7449,29.2,0.061000425,9.47664E-05
966,5,0,0,0,0,8.2,145,6,6037267200,0.1831,0.0363,0.2704,0.5218,0.169,17.8,0.045964485,0.000114919
967,5,0,0,0,0,2.8,144,4,6037267700,0.1801,0.0238,0.49,0.747,0.2649,17.6,0.036563815,7.92198E-05
968,4,0,0,0,0,10,172,110,6037217001,0.2988,0.7676,0.2,0.5475,0.4066,21.3,0.031830792,5.38175E-05
969,5,0,0,0,0,4,93,0,6037261101,0.0551,0.1602,0.1769,0.0086,0.006,19.6,0.227389905,0.000611156
970,5,0,0,0,0,39.3,342,113,6037206031,0.1416,0.006,0.4234,0.6756,0.1566,16.9,0.115367449,0.000459892
971,6,0,0,0,0,23.6,108,89,6037206031,0.1416,0.006,0.4234,0.6756,0.1566,16.9,0.115367449,0.000459892
972,5,0,1,0,0,14.5,202,142,6037222002,0.8966,0.8805,0.9612,0.6056,0.9052,31.8,0.036375294,6.39723E-05
973,12,1,1,1,0,31.7,0,0,6037294120,0.9722,0.7141,0.9282,0.2124,0.7731,31.5,0.057414839,0.00015235
974,2,0,0,0,0,0,0,0,6037980013,0.6156,0.4459,0.6997,0.6044,0.64015,25.24,0.047193453,4.52036E-07
975,9,0,1,0,0,68.3,20,4,6037185320,0.9461,0.6514,0.9141,0.9201,0.9582,29.8,0.045698486,5.98529E-05
976,6,0,1,0,1,31.3,312,265,6037203200,0.7431,0.9233,0.9421,0.6178,0.8532,29.8,0.04358947,4.95248E-05
977,3,0,0,0,0,16.5,227,124,6037293306,0.2535,0.3781,0.5854,0.4737,0.391,22.4,0.041423598,5.85836E-05
978,6,0,0,0,0,13.5,45,56,6037106010,0.5689,0.812,0.6068,0.2663,0.5502,26.7,0.095129895,0.000246656
979,3,0,0,0,0,5.6,70,29,6037125310,0.6068,0.0915,0.6063,0.7981,0.5796,24.8,0.068995055,0.000103109
980,3,0,0,0,0,7.2,19,10,6037125310,0.6068,0.0915,0.6063,0.7981,0.5796,24.8,0.068995055,0.000103109
981,7,0,0,0,0,19.2,232,201,6037238000,0.6706,0.7179,0.7493,0.5858,0.7076,33.5,0.063911876,0.000162227
982,7,0,1,0,1,43.2,200,444,6037240200,0.9797,0.7453,0.9276,0.7707,0.946,34,0.045813318,7.25424E-05
983,4,0,1,0,1,40.4,227,367,6037240800,0.9139,0.4663,0.9568,0.9036,0.9295,35,0.049982119,6.25431E-05
984,4,0,0,0,0,34,159,411,6037240800,0.9139,0.4663,0.9568,0.9036,0.9295,35,0.049982119,6.25431E-05
985,4,0,0,0,0,5.5,77,16,6037125600,0.3371,0.4442,0.3233,0.2862,0.3103,21.7,0.076461986,9.96982E-05
986,7,0,0,0,0,3.6,41,0,6037141600,0.2223,0.3763,0.1598,0.0142,0.0557,19.1,0.131483843,0.000375869
987,3,0,1,0,1,70.5,244,413,6037242100,0.994,0.7463,0.9083,0.8222,0.9646,40.5,0.029956346,4.47356E-05
988,4,0,1,0,0,40.1,73,170,6037240800,0.9139,0.4663,0.9568,0.9036,0.9295,35,0.049982119,6.25431E-05
989,3,0,1,0,0,33.4,93,113,6037241300,0.7148,0.8649,0.8938,0.6749,0.826,33.8,0.030910054,5.09998E-05
990,3,0,1,0,1,45,237,291,6037241001,0.8327,0.6291,0.922,0.6781,0.8353,33.1,0.077040381,8.76516E-05
991,4,0,1,0,1,29.9,126,188,6037241001,0.8327,0.6291,0.922,0.6781,0.8353,33.1,0.077040381,8.76516E-05
992,4,0,0,0,0,40.2,161,239,6037240700,0.7604,0.7921,0.8698,0.8531,0.8837,32.1,0.047657316,0.00011648
993,6,0,0,0,0,34.9,444,92,6037191610,0.8542,0.1538,0.8463,0.9366,0.8366,26.2,0.047359061,4.09297E-05
994,5,0,0,0,0,32.1,358,199,6037191203,0.909,0.708,0.7412,0.7395,0.8581,26.4,0.017906518,2.00455E-05
995,8,0,0,0,0,12.4,0,30,6037103200,0.4181,0.8161,0.4567,0.9259,0.6798,25,0.165479783,0.000657047
996,2,0,0,0,0,10.9,137,41,6037183103,0.7117,0.3,0.8046,0.3561,0.599,26,0.071513128,6.48105E-05
